"C_Name","T_Name","Substitu","User_","PowerSum_","無老年人口戶數比例","戶長平均年齡"
"新北市","三重區","菜寮里",1336.97985613,640253.201259,73.1,54.81
"新北市","三重區","永春里",872.178650235,396089.96667,78.12,53.22
"新北市","三重區","中正里",759.905636565,363544.352666,73.29,56.07
"新北市","三重區","吉利里",725.112719214,344680.421057,77.54,54.87
"新北市","三重區","大同里",1088.84165544,499787.0617,79.56,52.92
"新北市","三重區","中民里",831.390733491,359411.427702,73.88,56.43
"新北市","三重區","平和里",864.136533092,396645.60648,68.51,56.84
"新北市","三重區","大安里",876.122535688,412647.905153,71.58,55.25
"新北市","三重區","仁德里",1332.90973045,1027141.56237,70.09,56.76
"新北市","三重區","忠孝里",976.094904038,752179.702682,68.34,56.46
"新北市","三重區","仁義里",737.165306646,378259.121666,69.11,55.91
"新北市","三重區","光榮里",871.178112219,501050.851676,74.11,55.18
"新北市","三重區","光輝里",1332.92624991,847034.001564,74.13,55.7
"新北市","三重區","福星里",658.282430328,469949.824425,75.49,53.71
"新北市","三重區","福利里",733.473008881,352633.534519,82.78,50.77
"新北市","三重區","清和里",2605.631937,608361.474119,83.31,51.29
"新北市","三重區","永興里",932.145472349,690413.235595,78.44,53.27
"新北市","三重區","中山里",2156.5584977,1573113.33545,75.99,54.14
"新北市","三重區","大園里",1619.62973642,732323.217196,72.93,54.94
"新北市","三重區","國隆里",1124.69541249,620914.694106,77.8,53.74
"新北市","三重區","重陽里",2000.57365574,1143831.90134,74.38,55.09
"新北市","三重區","民生里",2068.97488441,1117744.03479,74.67,54.53
"新北市","三重區","重新里",922.619119792,739947.634863,70.7,56.43
"新北市","三重區","正德里",619.228724713,436389.92677,72.76,54.78
"新北市","三重區","正義里",1926.79350694,1320856.23304,74.54,54.77
"新北市","三重區","正安里",1244.68576602,990364.424114,72.18,55.83
"新北市","三重區","自強里",985.361604637,784026.86426,73.32,55.17
"新北市","三重區","文化里",1929.28832755,1458212.62678,65.62,57.97
"新北市","三重區","中央里",1067.05112526,731069.606782,73.15,54.18
"新北市","三重區","雙園里",728.453690173,499086.070225,71.01,55.71
"新北市","三重區","錦通里",985.483068659,583534.66685,65.75,57.96
"新北市","三重區","錦安里",989.93408803,718603.570818,66.62,57.44
"新北市","三重區","長安里",1599.8237029,905377.495733,71.51,55.88
"新北市","三重區","光華里",1175.59412534,704528.783646,75.14,54.08
"新北市","三重區","長生里",501.712583024,352136.828493,71.43,55.59
"新北市","三重區","開元里",729.915845798,432881.458874,72.74,54.93
"新北市","三重區","大德里",607.188032083,336892.475486,70.22,54.53
"新北市","三重區","長元里",1051.59287915,692693.15487,75.95,54.84
"新北市","三重區","長江里",448.041105928,623179.976651,75.31,53.75
"新北市","三重區","長泰里",1054.63150171,664517.231456,73.54,55.54
"新北市","三重區","長福里",681.886048445,510095.858627,73.54,55.27
"新北市","三重區","介壽里",639.87253659,187799.868787,71.18,55.92
"新北市","三重區","萬壽里",523.582884044,361123.475333,74.38,54.75
"新北市","三重區","錦江里",759.694724517,505156.676425,75.29,55.16
"新北市","三重區","龍濱里",1600.12987204,868869.943088,75.16,53.9
"新北市","三重區","龍門里",1201.38057987,690845.242979,73.16,54.76
"新北市","三重區","秀江里",580.205530215,288744.634092,69.57,56.19
"新北市","三重區","奕壽里",2283.45397576,1361895.69003,76.08,53.05
"新北市","三重區","三安里",1855.0697679,1266535.97652,73.16,54.32
"新北市","三重區","福安里",2095.94152336,1155259.56194,75.91,53.93
"新北市","三重區","信安里",860.523242786,597544.484439,76.63,52.61
"新北市","三重區","安慶里",971.014109372,535302.706818,75.4,54.68
"新北市","三重區","幸福里",3411.36383116,2143055.13616,75.91,54
"新北市","三重區","六合里",2417.06484093,1325547.87427,74.73,54.52
"新北市","三重區","六福里",1445.29514209,1098626.25561,83.32,52.08
"新北市","三重區","順德里",1230.218101,529860.654083,71.17,56
"新北市","三重區","承德里",1231.55971378,614255.043694,66.77,56.4
"新北市","三重區","瑞德里",755.809272127,692400.134173,70.21,55.37
"新北市","三重區","崇德里",2201.29428234,1257223.65521,72.42,54.98
"新北市","三重區","厚德里",1707.75385784,946230.902206,78.07,53.34
"新北市","新莊區","恆安里",1308.89389192,678292.020317,74.79,54.15
"新北市","新莊區","後港里",2956.43306652,1631811.30112,85.92,51.29
"新北市","新莊區","文衡里",942.370825226,662368.615811,70.45,55.66
"新北市","新莊區","中美里",2201.75253997,1602013.77168,77.22,53.27
"新北市","新莊區","八德里",2092.30612322,1311160.95438,81.09,52
"新北市","新莊區","興漢里",1897.07742998,1737934.563,68.61,55.99
"新北市","新莊區","中和里",1908.0403186,967543.171051,73.27,55.2
"新北市","新莊區","西盛里",5678.53754668,5185719.90193,87.6,48.11
"新北市","新莊區","榮和里",2031.3455659,1389300.13817,82.8,52.46
"新北市","新莊區","中泰里",1758.43938745,1097894.1732,72.52,54.24
"新北市","新莊區","瓊林里",5018.78135711,4050445.96573,74.33,54.15
"新北市","新莊區","文德里",965.172348792,631906.72586,74.38,54.1
"新北市","新莊區","中誠里",1124.42208342,669123.130884,77.61,52.98
"新北市","新莊區","裕民里",2922.02162711,1682330.58656,82.29,52.02
"新北市","新莊區","文明里",2503.57943873,2087049.99001,71.39,55.7
"新北市","新莊區","中港里",2720.11905802,2171580.03444,83.89,51.82
"新北市","新莊區","富國里",1215.00184674,779555.236679,81.03,52.84
"新北市","新莊區","思源里",2991.29180747,3368466.50692,78.63,52.75
"新北市","新莊區","立人里",1465.32425192,886272.80484,69.08,55.8
"新北市","新莊區","南港里",1761.05962441,1012913.04833,85.61,50.82
"新北市","三重區","維德里",1513.00010915,888052.1879,77.44,53.58
"新北市","三重區","尚德里",2029.21608576,1221084.99983,74.9,54.28
"新北市","三重區","培德里",2595.99697586,1658727.12295,76.57,53.93
"新北市","三重區","永德里",2168.5395238,1120203.87089,76.5,54.37
"新北市","三重區","永盛里",1474.5566705,857307.652771,76.27,53.86
"新北市","三重區","永福里",2899.32739196,1599490.63449,80.52,52.15
"新北市","三重區","永清里",1826.85888412,1099538.69092,81.08,52.86
"新北市","三重區","永安里",1582.86025745,1030052.72207,81.33,51.91
"新北市","三重區","永煇里",1192.66566343,662493.02906,78.09,54.02
"新北市","三重區","溪美里",3975.67888883,2092824.31114,81.98,51.55
"新北市","三重區","福隆里",3112.38080916,2076964.59819,82.53,51.69
"新北市","三重區","五常里",2003.18643049,1290468.60886,77.4,53.71
"新北市","三重區","五福里",2009.15997892,1105862.89966,81.69,50.6
"新北市","三重區","仁忠里",725.94587385,557515.088784,78.1,53.97
"新北市","三重區","慈福里",1021.89651834,511776.593714,72.33,55.08
"新北市","三重區","慈生里",1340.6024644,671387.905175,69.23,56.28
"新北市","三重區","慈惠里",875.862790425,562491.216048,73.02,55.04
"新北市","三重區","慈愛里",1680.10399599,895152.317769,75.36,54.77
"新北市","三重區","慈化里",850.215345882,608372.13305,78.19,52.88
"新北市","三重區","慈祐里",2626.3562791,1239544.7283,75.77,53.56
"新北市","三重區","五華里",2260.92975827,1118186.48738,82.8,50.69
"新北市","三重區","富貴里",5234.40272065,2573295.56427,85.75,49.44
"新北市","三重區","富華里",1249.96060719,495718.863918,79.26,51.85
"新北市","三重區","富福里",1704.16320728,854054.726382,78.7,53.59
"新北市","三重區","碧華里",3688.44080971,1984644.02623,86.83,47.97
"新北市","三重區","五谷里",1661.77334051,2976905.32224,73.61,55.48
"新北市","三重區","博愛里",1508.6152372,1045244.40502,79.79,53.53
"新北市","三重區","福德里",1833.56218113,1158674.75607,79.8,52.35
