"C_Name","T_Name","Substitu","group","io","User_","PowerSum_","無老年人口戶數比例","戶長平均年齡","所得中位數"
"新北市","板橋區","華中里","A","inner",0.701,0.676,0.294,0.472,0.214
"新北市","板橋區","僑中里","A","inner",0.665,0.544,0.243,0.442,0.211
"新北市","板橋區","中山里","A","inner",0.75,0.711,0.429,0.514,0.21
"新北市","板橋區","復興里","A","inner",0.581,0.58,0.402,0.566,0.169
"新北市","板橋區","大安里","A","inner",0.598,0.577,0.45,0.539,0.23
"新北市","板橋區","福安里","A","inner",0.594,0.561,0.462,0.578,0.23
"新北市","板橋區","聚安里","A","inner",0.752,0.709,0.351,0.481,0.235
"新北市","板橋區","龍安里","A","inner",0.602,0.659,0.456,0.572,0.224
"新北市","板橋區","崑崙里","A","outter",0.796,0.781,0.275,0.341,0.295
"新北市","板橋區","溪洲里","A","inner",0.767,0.74,0.362,0.507,0.264
"新北市","三重區","二重里","A","inner",0.666,0.669,0.453,0.572,0.192
"新北市","三重區","頂崁里","A","outter",0.698,0.854,0.366,0.496,0.248
"新北市","三重區","谷王里","A","outter",0.591,0.715,0.587,0.7,0.248
"新北市","三重區","中興里","B","outter",0.795,0.915,0.4,0.539,0.232
"新北市","三重區","德厚里","A","outter",0.521,0.68,0.661,0.724,0.218
"新北市","三重區","成功里","A","outter",0.797,0.758,0.296,0.365,0.375
"新北市","三重區","福祉里","A","inner",0.764,0.745,0.332,0.393,0.351
"新北市","三重區","福民里","A","inner",0.693,0.687,0.444,0.539,0.248
"新北市","三重區","過田里","A","inner",0.788,0.767,0.288,0.459,0.294
"新北市","三重區","錦田里","A","inner",0.551,0.55,0.496,0.618,0.268
"新北市","三重區","重明里","A","outter",0.685,0.686,0.451,0.517,0.357
"新北市","三重區","光田里","A","inner",0.743,0.709,0.443,0.531,0.297
"新北市","三重區","光陽里","A","inner",0.774,0.767,0.382,0.501,0.291
"新北市","三重區","田心里","A","inner",0.715,0.696,0.485,0.563,0.214
"新北市","三重區","福田里","A","outter",0.629,0.645,0.357,0.51,0.23
"新北市","三重區","田中里","A","inner",0.75,0.731,0.379,0.484,0.266
"新北市","三重區","田安里","A","inner",0.775,0.757,0.391,0.5,0.283
"新北市","三重區","三民里","A","inner",0.699,0.68,0.384,0.494,0.278
"新北市","三重區","光明里","A","outter",0.826,0.807,0.333,0.435,0.312
"新北市","三重區","光正里","A","inner",0.6,0.565,0.243,0.286,0.409
"新北市","三重區","同安里","A","inner",0.597,0.662,0.438,0.553,0.19
"新北市","三重區","同慶里","A","inner",0.662,0.636,0.435,0.529,0.33
"新北市","三重區","菜寮里","A","inner",0.673,0.638,0.476,0.563,0.237
"新北市","三重區","永春里","A","inner",0.621,0.583,0.387,0.493,0.267
"新北市","三重區","中正里","A","inner",0.604,0.573,0.473,0.618,0.231
"新北市","三重區","吉利里","A","inner",0.598,0.567,0.398,0.565,0.193
"新北市","三重區","大同里","A","inner",0.648,0.61,0.362,0.48,0.215
"新北市","三重區","中民里","A","outter",0.615,0.572,0.462,0.634,0.199
"新北市","三重區","平和里","A","outter",0.62,0.583,0.558,0.652,0.164
"新北市","三重區","大安里","A","outter",0.622,0.588,0.503,0.582,0.187
"新北市","三重區","仁德里","A","inner",0.673,0.692,0.53,0.649,0.216
"新北市","三重區","忠孝里","A","inner",0.635,0.656,0.561,0.635,0.228
"新北市","三重區","仁義里","A","outter",0.6,0.578,0.547,0.611,0.228
"新北市","三重區","光榮里","A","outter",0.621,0.61,0.458,0.579,0.277
"新北市","三重區","光輝里","A","inner",0.673,0.67,0.458,0.602,0.219
"新北市","三重區","福星里","A","inner",0.587,0.602,0.434,0.514,0.242
"新北市","三重區","福利里","A","inner",0.6,0.57,0.305,0.385,0.344
"新北市","三重區","清和里","A","outter",0.755,0.632,0.296,0.408,0.349
"新北市","三重區","永興里","A","inner",0.629,0.647,0.382,0.495,0.325
"新北市","三重區","中山里","A","inner",0.732,0.741,0.425,0.533,0.234
"新北市","三重區","大園里","A","inner",0.697,0.653,0.479,0.569,0.23
"新北市","三重區","國隆里","A","inner",0.652,0.634,0.393,0.516,0.279
"新北市","三重區","重陽里","A","inner",0.723,0.704,0.454,0.575,0.255
"新北市","三重區","民生里","A","inner",0.727,0.702,0.448,0.551,0.229
"新北市","三重區","重新里","A","inner",0.628,0.655,0.519,0.634,0.261
"新北市","三重區","正德里","A","inner",0.579,0.594,0.482,0.562,0.207
"新北市","三重區","正義里","A","inner",0.718,0.721,0.451,0.561,0.275
"新北市","三重區","正安里","A","inner",0.665,0.688,0.493,0.608,0.245
"新北市","三重區","自強里","A","outter",0.636,0.661,0.472,0.579,0.221
"新北市","三重區","文化里","A","inner",0.718,0.732,0.609,0.702,0.254
"新北市","三重區","中央里","A","inner",0.646,0.653,0.475,0.535,0.287
"新北市","三重區","雙園里","A","inner",0.599,0.609,0.513,0.602,0.261
"新北市","三重區","錦通里","A","inner",0.636,0.627,0.606,0.701,0.167
"新北市","三重區","錦安里","A","inner",0.637,0.651,0.591,0.678,0.241
"新北市","三重區","長安里","A","outter",0.695,0.678,0.504,0.61,0.236
"新北市","三重區","光華里","A","inner",0.658,0.649,0.44,0.531,0.272
"新北市","三重區","長生里","A","inner",0.553,0.569,0.506,0.597,0.283
"新北市","三重區","開元里","A","outter",0.599,0.593,0.483,0.568,0.261
"新北市","三重區","大德里","A","inner",0.577,0.564,0.527,0.551,0.249
"新北市","三重區","長元里","A","inner",0.644,0.647,0.426,0.564,0.211
"新北市","三重區","長江里","A","outter",0.54,0.635,0.437,0.516,0.276
"新北市","三重區","長泰里","A","inner",0.644,0.642,0.468,0.595,0.206
"新北市","三重區","長福里","A","inner",0.591,0.612,0.468,0.583,0.233
"新北市","三重區","介壽里","A","inner",0.583,0.497,0.51,0.612,0.22
"新北市","三重區","萬壽里","A","inner",0.559,0.572,0.454,0.56,0.268
"新北市","三重區","錦江里","A","outter",0.604,0.611,0.437,0.578,0.191
"新北市","三重區","龍濱里","A","inner",0.695,0.673,0.44,0.523,0.239
"新北市","三重區","龍門里","A","inner",0.66,0.647,0.475,0.561,0.214
"新北市","三重區","秀江里","A","inner",0.571,0.547,0.539,0.623,0.257
"新北市","三重區","奕壽里","A","inner",0.739,0.724,0.424,0.486,0.228
"新北市","三重區","三安里","A","inner",0.713,0.716,0.475,0.541,0.244
"新北市","三重區","福安里","A","inner",0.728,0.706,0.427,0.524,0.246
"新北市","三重區","信安里","A","outter",0.619,0.63,0.414,0.466,0.292
"新北市","三重區","安慶里","A","inner",0.634,0.617,0.436,0.557,0.22
"新北市","三重區","幸福里","A","inner",0.788,0.776,0.427,0.527,0.22
"新北市","三重區","六合里","A","inner",0.746,0.721,0.447,0.55,0.237
"新北市","三重區","六福里","A","inner",0.683,0.7,0.295,0.443,0.229
"新北市","三重區","順德里","A","inner",0.663,0.616,0.51,0.615,0.192
"新北市","三重區","承德里","A","inner",0.663,0.633,0.588,0.633,0.256
"新北市","三重區","瑞德里","A","inner",0.604,0.647,0.527,0.587,0.24
"新北市","三重區","崇德里","A","inner",0.734,0.715,0.488,0.57,0.219
"新北市","三重區","厚德里","A","inner",0.703,0.683,0.388,0.498,0.3
"新北市","新莊區","恆安里","A","inner",0.671,0.645,0.446,0.534,0.328
"新北市","新莊區","後港里","A","inner",0.77,0.745,0.249,0.408,0.256
"新北市","新莊區","文衡里","A","outter",0.63,0.642,0.523,0.6,0.35
"新北市","新莊區","中美里","A","inner",0.734,0.743,0.403,0.495,0.276
"新北市","新莊區","八德里","A","inner",0.728,0.72,0.335,0.439,0.201
"新北市","新莊區","興漢里","A","inner",0.716,0.752,0.556,0.615,0.276
"新北市","新莊區","中和里","A","inner",0.717,0.685,0.473,0.58,0.24
"新北市","新莊區","西盛里","A","outter",0.85,0.878,0.22,0.268,0.314
"新北市","新莊區","榮和里","A","inner",0.724,0.727,0.305,0.46,0.269
"新北市","新莊區","中泰里","A","inner",0.707,0.7,0.487,0.538,0.213
